"id","name","description","handle","mpath","is_active","is_internal","rank","parent_category_id","created_at","updated_at","deleted_at","metadata"
"pcat_01KE1PPSZV4H1AHV8CS30CQWMD","Mobile Flashes & Selfie Lights","","mobile-flashes-selfie-lights","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSZV4H1AHV8CS30CQWMD",True,False,6,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.923+00","2026-01-03 10:33:32.923+00",NULL,"{""original_id"": ""18007875011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Mobile Flashes & Selfie Lights"", ""original_level"": 3}"
"pcat_01KE1PPT1Z0BXVKJW6JPK5DZ3A","Mounts & Stands","","mounts-stands","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT1Z0BXVKJW6JPK5DZ3A",True,False,7,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.991+00","2026-01-03 10:33:32.991+00",NULL,"{""original_id"": ""7072563011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Mounts & Stands"", ""original_level"": 3}"
"pcat_01KE1PPBCPC41GN0SE179AHSRT","Audio & Video Accessories","","audio-video-accessories","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT",True,False,0,"pcat_01KE1PPBAB99K7X0G0J686QQYP","2026-01-03 10:33:17.974+00","2026-01-03 10:33:17.974+00",NULL,"{""original_id"": ""172532"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories"", ""original_level"": 2}"
"pcat_01KE1PPBEW2QYYABJK23F5K958","Connectors & Adapters","","connectors-adapters","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBEW2QYYABJK23F5K958",True,False,0,"pcat_01KE1PPBCPC41GN0SE179AHSRT","2026-01-03 10:33:18.044+00","2026-01-03 10:33:18.044+00",NULL,"{""original_id"": ""172544"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Connectors & Adapters"", ""original_level"": 3}"
"pcat_01KE1PPBGZV1KYY2FZ1G868AZK","Crossover Parts","","crossover-parts","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBGZV1KYY2FZ1G868AZK",True,False,1,"pcat_01KE1PPBCPC41GN0SE179AHSRT","2026-01-03 10:33:18.111+00","2026-01-03 10:33:18.111+00",NULL,"{""original_id"": ""11042391"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Crossover Parts"", ""original_level"": 3}"
"pcat_01KE1PPBK3Q2Y7KN63EXMWJEXM","Digital-to-Analog Converters","","digital-to-analog-converters","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBK3Q2Y7KN63EXMWJEXM",True,False,2,"pcat_01KE1PPBCPC41GN0SE179AHSRT","2026-01-03 10:33:18.179+00","2026-01-03 10:33:18.179+00",NULL,"{""original_id"": ""3224445011"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Digital-to-Analog Converters"", ""original_level"": 3}"
"pcat_01KE1PPBNP6TKNBCR1NKWZDZS6","Distribution","","distribution","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBNP6TKNBCR1NKWZDZS6",True,False,3,"pcat_01KE1PPBCPC41GN0SE179AHSRT","2026-01-03 10:33:18.262+00","2026-01-03 10:33:18.262+00",NULL,"{""original_id"": ""11041931"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Distribution"", ""original_level"": 3}"
"pcat_01KE1PPBRAKYTA6P1W595YAVA5","Distribution Panels","","distribution-panels","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBNP6TKNBCR1NKWZDZS6.pcat_01KE1PPBRAKYTA6P1W595YAVA5",True,False,0,"pcat_01KE1PPBNP6TKNBCR1NKWZDZS6","2026-01-03 10:33:18.346+00","2026-01-03 10:33:18.346+00",NULL,"{""original_id"": ""11041971"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Distribution > Distribution Panels"", ""original_level"": 4}"
"pcat_01KE1PPBTG2PSXHCNCBBG2MQJ7","Selector Switch Boxes","","selector-switch-boxes","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPBCPC41GN0SE179AHSRT.pcat_01KE1PPBNP6TKNBCR1NKWZDZS6.pcat_01KE1PPBTG2PSXHCNCBBG2MQJ7",True,False,1,"pcat_01KE1PPBNP6TKNBCR1NKWZDZS6","2026-01-03 10:33:18.417+00","2026-01-03 10:33:18.417+00",NULL,"{""original_id"": ""172546"", ""original_path"": ""Electronics > Accessories & Supplies > Audio & Video Accessories > Distribution > Selector Switch Boxes"", ""original_level"": 4}"
"pcat_01KE1PQVAD1J3J3PCZM4M0QFCV","Streaming Media Players","","streaming-media-players","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PQNSFKWS419CNSEJ5KZM9.pcat_01KE1PQTEMJ5J44CE0VD4FQNTN.pcat_01KE1PQVAD1J3J3PCZM4M0QFCV",True,False,10,"pcat_01KE1PQTEMJ5J44CE0VD4FQNTN","2026-01-03 10:34:07.054+00","2026-01-03 10:34:07.054+00",NULL,"{""original_id"": ""13447451"", ""original_path"": ""Computers > Networking Products > Streaming Media Players"", ""original_level"": 3}"
"pcat_01KE1PPT43Y33ZD27YE3KSDJNA","Stands","","stands","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT1Z0BXVKJW6JPK5DZ3A.pcat_01KE1PPT43Y33ZD27YE3KSDJNA",True,False,0,"pcat_01KE1PPT1Z0BXVKJW6JPK5DZ3A","2026-01-03 10:33:33.06+00","2026-01-03 10:33:33.06+00",NULL,"{""original_id"": ""7073961011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Mounts & Stands > Stands"", ""original_level"": 4}"
"pcat_01KE1PPT5VRHH5BPE00WSQC4TA","Phone Charms","","phone-charms","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT5VRHH5BPE00WSQC4TA",True,False,8,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:33.115+00","2026-01-03 10:33:33.115+00",NULL,"{""original_id"": ""2407779011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Phone Charms"", ""original_level"": 3}"
"pcat_01KE1PPT7XPM46DFJEDTS7R9GR","Portable Speakers & Audio Docks","","portable-speakers-audio-docks","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT7XPM46DFJEDTS7R9GR",True,False,9,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:33.181+00","2026-01-03 10:33:33.181+00",NULL,"{""original_id"": ""689637011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Portable Speakers & Audio Docks"", ""original_level"": 3}"
"pcat_01KE1PPT9VV1K9TTVN27NM26WM","Audio Docks","","audio-docks","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT7XPM46DFJEDTS7R9GR.pcat_01KE1PPT9VV1K9TTVN27NM26WM",True,False,0,"pcat_01KE1PPT7XPM46DFJEDTS7R9GR","2026-01-03 10:33:33.243+00","2026-01-03 10:33:33.243+00",NULL,"{""original_id"": ""13996491"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Portable Speakers & Audio Docks > Audio Docks"", ""original_level"": 4}"
