name,handle,root_category_name,second_category_name,third_category_name,website,metadata,rank,ispopular
Sapuion,sapuion,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
IETFULL,ietfull,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
USARemote,usaremote,Electronics,Car & Vehicle Electronics,Car Electronics,,,,
OEHLBACH,oehlbach,Electronics,Accessories & Supplies,Cables,,,,
Little Green,little-green,Beauty,Hair Care,Shampoo & Conditioner,,,,
Love Wellness,love-wellness,Beauty,Skin Care,Body,,,,
BGNing,bgning,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
jeallis,jeallis,Beauty,Skin Care,Sunscreens & Tanning Products,,,,
FRAMAR,framar,Beauty,Hair Care,Hair Coloring Products,,,,
Bubbob,bubbob,Beauty,Personal Care,Bath & Bathing Accessories,,,,
Dvvsav,dvvsav,Beauty,Hair Care,Hair Accessories,,,,
MT-VIKI,mt-viki,Electronics,Accessories & Supplies,Television Accessories,,,,
Duttek,duttek,Electronics,Accessories & Supplies,Computer Accessories,,,,
MAYJAM,mayjam,Beauty,Personal Care,Bath & Bathing Accessories,,,,
SUMAJU,sumaju,Electronics,Accessories & Supplies,Microphones,,,,
MISYNLON,misynlon,Electronics,Computers & Accessories,Computer Components,,,,
Beia,beia,Beauty,Skin Care,Body,,,,
SkyWatcher,skywatcher,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
China Glaze,china-glaze,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
othos,othos,Beauty,Shave & Hair Removal,Men's,,,,
CarEase,carease,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
EITIPOK,eitipok,Electronics,Portable Audio & Video,MP3 & MP4 Player Accessories,,,,
KissDate,kissdate,Beauty,Makeup,Makeup Palettes,,,,
HOLYOM,holyom,Beauty,Skin Care,Face,,,,
Crowned Skin,crowned-skin,Beauty,Skin Care,Body,,,,
LUDOS,ludos,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
HUANYINGBJB,huanyingbjb,Electronics,Accessories & Supplies,Office Electronics Accessories,,,,
Nilight,nilight,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
